1000 513
195 284 694
637 487 565
14 169 176
596 272 460
647 64 146
206 560 593
538 214 399
175 17 642
633 624 662
380 77 129
311 207 260
90 252 426
45 391 617
5 570 574
323 94 558
388 407 711
13 533 714
113 213 252
457 83 644
589 693 695
365 251 638
641 518 540
570 362 456
656 129 576
307 361 546
384 644 674
660 708 709
498 545 563
73 684 707
185 176 267
591 500 528
436 333 502
331 197 649
467 428 497
373 354 670
133 95 555
590 133 486
263 583 635
516 293 540
470 569 620
118 625 651
464 143 490
571 64 180
359 347 349
80 495 552
588 81 172
660 489 508
552 70 558
536 128 425
578 111 481
466 167 418
706 381 619
0 579 607
104 388 545
681 138 679
518 551 648
76 685 706
696 536 614
139 610 680
560 131 266
518 211 257
439 160 343
335 366 505
543 437 670
153 582 612
481 355 393
136 164 410
172 5 669
499 531 611
469 55 429
630 30 126
170 631 674
419 552 676
451 639 688
73 151 308
685 496 596
587 372 680
662 364 615
648 541 601
541 600 643
707 528 551
690 82 273
187 130 430
535 101 601
382 409 452
390 89 713
651 124 425
230 38 253
537 280 640
203 601 694
22 222 584
215 518 714
418 601 701
508 562 595
358 289 405
326 56 308
108 137 326
350 423 429
116 328 653
54 63 447
321 432 656
364 658 679
286 453 666
586 558 645
383 75 699
337 523 695
460 299 315
180 12 369
142 498 563
117 625 640
308 291 349
635 391 426
223 254 471
445 326 625
632 143 289
51 119 359
236 651 699
55 144 669
434 539 583
241 451 694
527 594 703
662 113 197
699 2 217
499 425 523
630 675 676
448 61 88
508 82 275
161 543 600
410 434 586
459 350 557
157 157 211
570 33 219
22 665 687
1 28 640
54 681 712
257 386 656
358 684 685
421 129 367
691 694 701
50 133 518
338 119 615
214 296 357
666 488 615
492 432 485
687 410 419
26 327 382
188 58 179
528 616 671
149 515 694
522 635 678
294 454 700
384 328 374
273 374 425
259 666 702
98 31 348
373 264 326
465 491 567
563 300 594
274 692 711
242 188 429
77 205 447
70 373 389
598 315 408
481 662 700
139 146 550
248 246 698
488 57 132
179 312 330
17 617 685
20 586 593
283 660 690
53 266 412
509 68 607
21 670 673
341 147 644
610 158 529
591 19 152
329 128 306
40 597 631
605 162 214
624 78 263
411 182 241
304 231 338
409 333 547
284 243 632
146 586 661
59 553 650
427 667 705
113 358 578
519 604 610
221 235 255
612 618 667
212 583 676
545 509 710
313 310 583
89 180 514
621 386 533
394 598 669
135 57 213
188 685 691
678 84 570
542 576 597
512 6 362
237 409 570
369 72 562
511 403 467
283 73 95
12 107 631
343 666 713
10 276 301
156 598 711
399 566 678
403 540 709
497 670 691
115 76 98
220 330 385
691 205 427
399 243 511
594 617 644
369 570 624
111 319 683
426 170 396
354 679 685
492 676 684
264 34 223
689 399 446
595 625 712
478 109 254
667 212 304
270 41 621
479 354 475
657 228 560
386 612 637
90 151 162
607 523 542
0 185 506
575 115 560
346 686 712
650 518 644
526 310 597
506 60 303
619 165 636
187 540 691
589 567 631
339 428 449
317 163 714
378 47 126
299 471 615
395 169 513
13 27 32
422 168 561
520 27 117
680 347 369
315 305 323
234 564 577
292 4 447
706 686 693
679 297 653
186 524 615
281 704 710
363 342 514
368 64 164
591 238 314
18 270 284
606 76 538
673 523 583
486 74 558
324 491 588
76 71 635
646 342 591
458 701 705
314 290 406
425 515 577
682 429 475
661 596 649
472 405 416
569 580 584
557 532 678
143 173 674
630 226 394
101 164 217
224 302 508
363 648 693
522 17 264
310 661 687
349 319 662
20 660 688
320 473 546
612 281 353
285 616 703
203 37 49
145 672 686
23 698 713
492 611 636
551 106 286
620 405 677
364 555 654
713 448 619
123 642 688
401 293 646
634 432 653
628 258 671
503 684 704
65 263 326
395 624 680
507 90 153
687 174 400
249 448 496
415 625 640
486 677 706
176 627 668
245 265 683
50 595 645
6 184 295
188 617 661
30 584 651
178 255 646
35 572 586
608 683 710
553 507 538
312 279 486
435 548 631
397 93 293
220 129 215
597 545 671
168 165 527
210 690 694
37 447 496
229 251 281
493 695 702
485 551 709
147 58 188
617 536 629
21 342 363
251 562 645
447 604 663
417 96 259
183 595 706
668 665 674
7 486 679
423 16 712
661 290 487
345 189 405
306 684 687
443 658 696
328 605 639
84 161 500
483 466 712
16 211 364
688 382 441
258 334 429
173 166 495
49 15 87
123 485 502
580 304 694
610 712 714
336 34 417
506 440 585
302 596 654
373 712 714
26 429 679
46 690 708
276 218 572
402 475 491
258 604 638
106 225 537
655 28 75
467 631 671
474 546 668
236 332 628
415 650 708
572 363 364
300 68 332
645 366 437
701 577 660
300 474 653
672 88 311
103 535 618
146 677 691
327 493 676
564 368 487
14 482 701
38 694 711
524 378 616
609 158 646
91 451 561
561 234 711
634 712 713
542 360 450
283 98 581
323 612 631
268 418 555
191 182 239
256 250 404
566 438 632
99 400 543
588 260 443
101 638 687
698 546 684
555 538 577
179 51 307
10 32 226
700 440 566
9 632 645
296 289 355
305 281 372
48 516 627
432 223 575
377 187 516
529 486 689
406 659 660
684 690 693
122 696 700
427 169 401
154 521 615
462 448 479
675 513 696
677 701 705
397 589 654
380 429 551
520 642 654
126 60 475
11 186 497
306 341 370
356 151 503
49 623 679
342 226 350
206 233 517
135 410 637
573 363 522
211 244 590
368 384 631
54 574 639
623 160 611
93 708 713
361 387 472
208 407 420
480 67 710
430 243 494
654 696 698
132 386 494
539 664 687
531 647 696
438 696 698
564 54 215
357 457 680
70 460 673
283 713 714
671 478 643
504 134 656
446 279 367
677 281 374
41 152 198
330 640 681
630 503 568
313 122 158
667 703 710
326 417 702
379 101 321
328 98 217
273 655 707
97 642 705
170 278 521
687 478 552
479 106 163
670 48 568
509 13 29
128 143 155
60 120 273
402 697 703
98 445 627
2 649 652
213 649 706
466 9 146
375 265 452
643 307 344
652 90 281
11 621 665
32 654 710
665 509 531
8 475 624
197 574 627
193 527 605
698 65 103
157 335 565
301 550 606
391 178 234
475 548 650
159 622 629
597 687 710
603 486 575
453 701 706
321 128 171
622 53 375
440 694 698
224 556 658
677 652 665
200 339 687
162 195 297
110 623 700
525 294 566
438 0 296
177 163 337
566 282 286
296 385 540
712 613 640
476 581 630
530 3 8
429 445 556
209 311 392
285 357 487
630 679 684
622 522 593
511 163 398
396 385 660
183 306 360
523 437 711
332 622 661
165 178 299
216 133 372
700 622 678
25 464 587
103 163 506
400 696 698
542 667 690
636 160 514
251 150 490
140 52 712
2 2 390
266 272 613
58 665 711
616 627 639
684 45 625
26 154 271
445 702 714
452 355 504
633 95 504
660 595 683
565 566 626
24 552 650
376 203 414
489 54 594
57 66 74
371 640 678
169 529 713
114 42 274
155 341 686
506 695 714
305 600 682
497 27 568
91 631 651
473 103 381
254 586 691
583 169 411
450 578 606
91 68 448
404 676 712
255 546 569
360 188 679
48 445 456
93 465 542
437 123 288
708 216 355
579 528 581
682 684 712
44 583 700
34 281 642
690 442 690
25 398 460
332 223 344
318 12 131
477 387 631
26 690 700
573 51 53
531 119 270
338 663 688
447 440 473
527 174 354
671 67 449
210 327 532
473 443 682
490 56 236
240 133 691
96 710 714
616 32 462
413 324 559
132 265 317
361 297 382
209 518 608
699 631 681
37 577 670
428 218 309
108 705 713
176 138 154
44 220 496
280 446 556
502 711 714
17 294 385
303 128 294
8 104 464
124 36 230
298 455 514
624 430 612
33 44 108
88 406 417
538 472 517
190 461 663
357 108 289
157 657 669
43 436 708
581 68 208
479 622 671
547 206 633
380 147 402
695 77 332
348 653 697
573 604 623
600 446 464
394 695 703
25 356 369
407 153 185
520 658 672
288 627 639
238 321 427
569 654 663
398 654 714
418 399 508
709 175 358
501 670 704
387 308 493
585 46 319
335 569 661
649 580 655
638 486 624
314 444 544
119 607 655
581 611 649
513 263 351
672 652 654
131 82 132
309 435 712
484 214 289
612 153 259
167 394 623
191 513 639
653 1 147
80 319 463
228 589 642
238 544 558
465 128 385
468 226 677
543 700 703
622 698 700
537 42 180
549 416 582
412 185 216
157 670 687
664 100 369
677 452 472
451 149 546
377 531 592
652 41 55
543 171 321
385 280 525
648 642 663
407 6 10
151 109 573
694 695 700
393 265 431
675 393 416
655 362 606
507 166 209
207 2 148
267 48 196
21 54 242
502 428 480
127 138 233
703 545 581
117 491 522
290 477 485
555 590 639
627 409 414
663 156 193
128 533 631
150 641 674
164 515 642
202 85 399
347 587 677
340 15 97
120 326 467
228 76 503
153 548 558
579 356 487
392 21 64
570 544 611
328 379 541
443 251 325
532 504 509
508 305 533
280 59 121
208 105 297
466 652 673
59 697 698
372 316 655
498 98 336
37 67 437
232 121 413
660 686 691
9 671 687
32 591 607
162 368 479
280 1 15
407 577 609
61 129 71
236 671 173
641 687 147
129 601 451
256 662 251
455 566 468
321 488 234
217 703 25
350 369 37
421 446 358
360 566 602
220 374 282
202 229 1
602 680 128
647 697 253
73 171 35
78 289 151
313 409 142
451 515 399
324 714 338
264 421 487
144 253 157
604 697 157
580 589 23
362 523 200
634 684 224
177 297 671
162 183 578
619 676 345
3 246 137
70 694 704
145 532 441
462 712 463
49 381 318
333 338 641
48 684 445
447 512 214
188 389 118
712 714 714
454 707 513
180 349 472
162 639 590
328 574 576
5 128 268
437 524 3
277 510 99
162 312 102
364 617 60
647 653 340
117 450 106
521 707 89
599 667 368
607 692 206
532 673 666
595 627 153
384 461 556
579 615 546
265 413 83
635 693 500
407 535 638
184 343 27
432 442 397
580 645 126
179 440 62
250 417 64
528 539 139
13 619 112
190 390 548
2 48 439
165 622 196
31 414 243
73 106 27
500 621 245
50 271 46
398 644 695
29 140 470
574 578 677
696 709 618
4 214 371
20 262 30
678 679 194
329 697 268
243 640 189
670 693 559
11 199 449
162 473 239
366 678 660
283 585 145
404 585 115
298 409 519
166 239 304
691 709 616
583 614 511
303 502 76
236 713 435
463 504 64
80 202 37
4 190 204
318 438 149
73 530 684
352 639 18
206 357 89
80 281 169
135 290 104
313 691 707
570 683 285
606 711 523
570 648 460
689 703 595
153 217 421
404 458 130
511 574 414
104 305 384
675 685 515
225 410 217
266 305 208
641 650 356
593 599 352
702 706 311
520 643 78
38 254 264
185 701 668
580 708 490
115 239 635
140 255 699
432 450 181
149 169 540
109 311 660
674 697 212
166 496 308
633 661 74
70 488 379
409 564 163
460 645 504
284 573 605
579 678 16
397 642 654
472 529 680
147 500 298
628 653 536
529 663 210
219 708 648
230 699 109
390 488 627
697 700 243
627 686 60
424 506 302
39 196 666
178 305 600
675 707 687
43 397 631
138 413 302
636 712 472
536 568 258
41 629 67
336 453 237
621 643 492
111 699 690
278 641 429
488 566 425
475 601 588
698 699 702
89 184 126
137 335 276
151 416 586
654 681 482
672 695 78
154 576 329
157 168 608
386 605 9
511 663 226
166 655 166
32 328 327
94 114 664
646 686 278
409 563 343
368 565 574
331 347 458
114 185 23
31 541 657
697 711 654
344 442 712
148 603 133
161 693 350
455 492 476
374 457 315
526 697 99
245 423 507
651 652 602
406 666 318
342 454 470
655 693 1
132 547 533
181 520 32
562 681 229
341 428 12
454 592 423
704 713 128
0 364 581
62 573 280
425 586 243
469 701 443
571 680 397
214 423 175
341 698 354
218 224 397
679 699 69
688 693 120
674 677 318
242 403 621
576 593 345
110 510 21
409 499 340
374 480 612
573 671 366
171 312 693
64 227 712
33 194 552
180 186 618
702 703 391
207 431 391
624 637 50
677 711 37
165 619 480
334 589 206
50 589 74
274 490 366
248 505 219
227 689 43
118 546 192
400 641 377
162 656 406
617 647 562
161 679 431
584 712 548
676 706 272
265 563 490
448 669 291
75 185 402
632 650 169
538 682 264
675 702 543
320 428 714
418 600 186
529 556 625
564 570 556
76 568 531
603 627 612
217 677 447
584 591 418
619 668 161
175 487 171
463 644 374
420 611 311
460 541 48
107 249 410
51 280 517
697 706 300
600 654 674
295 597 249
461 584 194
117 549 564
390 535 104
234 472 702
435 439 526
616 647 554
464 468 124
580 616 179
664 670 241
342 501 418
135 237 602
100 684 334
55 506 651
367 380 86
79 639 159
172 560 382
678 684 412
338 697 58
651 655 586
174 395 232
29 172 543
78 310 214
485 561 348
115 187 115
639 668 219
40 178 54
689 704 214
291 561 179
702 705 515
244 378 478
273 367 356
89 336 323
571 585 453
670 672 161
163 289 513
397 517 593
560 609 356
596 709 710
642 681 616
161 589 697
454 652 526
257 573 39
44 695 427
675 695 7
310 596 35
182 352 147
318 623 260
580 705 288
464 484 157
502 516 521
380 408 153
632 684 321
84 102 18
65 372 443
493 674 95
13 448 78
530 562 635
608 702 470
668 672 657
156 181 295
428 694 217
227 403 497
692 713 92
279 358 399
469 518 394
580 632 682
210 572 56
153 645 482
414 511 356
204 631 325
649 669 83
278 519 41
544 600 175
87 673 364
394 413 262
388 581 169
252 373 50
356 525 332
553 655 631
608 634 643
653 661 208
379 388 625
508 705 202
176 318 268
693 703 423
99 140 41
693 708 605
244 381 666
488 681 595
94 418 687
430 648 371
334 532 30
52 616 80
597 653 571
665 684 449
284 393 633
698 709 643
168 465 500
503 597 416
611 708 358
172 644 155
199 426 361
525 616 308
126 508 253
360 677 27
530 602 643
309 691 386
164 184 64
630 655 521
387 558 523
501 566 368
547 566 126
687 708 102
321 435 513
562 660 122
331 384 394
663 700 166
706 709 288
244 325 463
329 595 693
359 636 616
293 673 137
224 365 139
46 351 313
688 699 232
373 379 543
123 346 529
310 420 540
172 637 184
64 295 222
370 476 151
652 693 680
455 595 458
698 700 130
627 684 214
147 479 321
691 712 455
634 672 416
658 707 276
59 376 674
627 698 5
25 115 181
303 542 408
290 676 135
484 544 358
288 625 198
655 678 274
125 521 571
700 714 468
286 704 517
180 237 641
318 352 595
712 714 437
442 513 529
201 351 662
583 662 633
648 651 418
72 304 16
468 532 23
630 648 145
588 654 102
180 264 366
644 686 569
627 629 104
288 668 336
588 607 300
43 648 389
72 96 334
697 712 674
672 682 249
642 656 627
587 695 149
258 367 256
217 247 285
533 537 128
122 398 241
514 665 578
650 657 80
583 634 247
133 643 71
531 613 200
547 675 266
253 421 578
442 640 519
71 559 404
610 627 384
602 626 208
574 591 97
437 489 618
141 270 584
670 687 643
639 643 86
361 466 16
74 94 229
702 703 697
323 453 509
533 709 12
73 143 476
327 335 654
707 709 414
252 525 494
177 316 502
445 570 313
253 487 484
642 668 142
539 630 118
207 332 618
685 708 699
569 693 402
655 659 382
678 688 556
447 488 515
48 192 523
276 542 120
303 470 699
350 397 7
253 366 1
551 610 621
220 291 608
588 612 476
293 332 377
690 706 56
356 564 600
551 644 399
182 434 521
527 531 21
618 682 641
506 542 379
99 259 559
652 670 169
641 709 597
74 625 14
57 555 465
270 582 295
454 659 455
554 567 253
619 667 651
562 664 441
270 611 646
491 516 552
494 554 276
677 697 374
468 582 37
104 285 643
470 674 538
701 705 445
588 680 256
43 100 358
0 154 361
450 610 629
416 454 633
708 714 7
87 575 492
